date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:04	1834/1834	---M--	200	added ('OK')	image/jpeg	etag:%221600cc-72a-4f65d3f864c40%22	http://buyerly.com/sites/default/files/styles/testimonial_thumbnail/public/destination-maternity-logo.jpg?itok=dihGpFli	./buyerly.com/sites/default/files/styles/testimonial_thumbnail/public/destination-maternity-logo/index.jpg	(from http://buyerly.com/)
12:36:05	4119/4119	---M--	200	added ('OK')	image/jpeg	etag:%221600ca-1017-4f65d3f958e80%22	http://buyerly.com/sites/default/files/styles/testimonial_thumbnail/public/Fingerhut.jpg?itok=-Wd5SQwX	./buyerly.com/sites/default/files/styles/testimonial_thumbnail/public/Fingerhut/index.jpg	(from http://buyerly.com/)
12:36:07	40896/40896	---M-Z	200	added ('OK')	text/html	etag:%221445196962%22	http://buyerly.com/contact	./buyerly.com/contact/index.html	(from http://buyerly.com/)
12:36:08	45243/45243	---MCZ	200	added ('OK')	text/html	etag:%221444661774-1%22	http://buyerly.com/about-us	./buyerly.com/about-us/index.html	(from http://buyerly.com/)
12:36:09	64961/64961	---MCZ	200	added ('OK')	text/html	etag:%221444725918-1%22	http://buyerly.com/terms-conditions	./buyerly.com/terms-conditions/index.html	(from http://buyerly.com/)
12:36:10	49925/49925	---MCZ	200	added ('OK')	text/html	etag:%221444725911-1%22	http://buyerly.com/faq	./buyerly.com/faq/index.html	(from http://buyerly.com/)
12:36:12	55012/55012	---MCZ	200	added ('OK')	text/html	etag:%221444699519-1%22	http://buyerly.com/privacy-policy	./buyerly.com/privacy-policy/index.html	(from http://buyerly.com/)
12:36:16	251885/251885	---M--	200	added ('OK')	application/pdf	etag:%221002e3-3d7ed-50aa236ec7880%22	http://buyerly.com/sites/all/themes/buyerly/img/case_study_sample.pdf	./buyerly.com/sites/all/themes/buyerly/img/case_study_sample/index.pdf	(from http://buyerly.com/)
12:36:16	1756/1756	---M-Z	200	added ('OK')	application/javascript	etag:%22e1079-6dc-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-transition.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-transition/index.js	(from http://buyerly.com/)
12:36:17	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:%22e1085-169d5-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/jquery.js	./buyerly.com/sites/all/themes/buyerly/assets/js/jquery/index.js	(from http://buyerly.com/)
12:36:17	2524/2524	---M-Z	200	added ('OK')	application/javascript	etag:%22e106a-9dc-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-alert.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-alert/index.js	(from http://buyerly.com/)
12:36:17	6656/6656	---M-Z	200	added ('OK')	application/javascript	etag:%22e1071-1a00-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-modal.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-modal/index.js	(from http://buyerly.com/)
12:36:18	4203/4203	---M-Z	200	added ('OK')	application/javascript	etag:%22e1070-106b-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-dropdown.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-dropdown/index.js	(from http://buyerly.com/)
12:36:18	4655/4655	---M-Z	200	added ('OK')	application/javascript	etag:%22e1073-122f-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-scrollspy.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-scrollspy/index.js	(from http://buyerly.com/)
12:36:18	3496/3496	---M-Z	200	added ('OK')	application/javascript	etag:%22e1074-da8-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-tab.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-tab/index.js	(from http://buyerly.com/)
12:36:18	3115/3115	---M-Z	200	added ('OK')	application/javascript	etag:%22e1072-c2b-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-popover.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-popover/index.js	(from http://buyerly.com/)
12:36:18	9911/9911	---M-Z	200	added ('OK')	application/javascript	etag:%22e1076-26b7-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-tooltip.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-tooltip/index.js	(from http://buyerly.com/)
12:36:19	2841/2841	---M-Z	200	added ('OK')	application/javascript	etag:%22e106b-b19-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-button.js	./buyerly.com/sites/all/themes/buyerly/assets/js/bootstrap-button/index.js	(from http://buyerly.com/)
